Year;Region;Farmer;FlowerStrip;Transect;PlantSp;Ploidy;Fieldsize;Flowers;zFlowers;zFlowersFS;Striparea;zStriparea;plCROP1km;rounds;logrounds;Species;Bumblebees;longt;shortt;ca;di;ho;la;mu;oh;pa;pr;rd;rp;so;su;sy;terag;Honeybees;cwm_tongue;Protapion;TotalProtapion;logWFlowers;Parasitoids;Hayield;mlongt;mshortt;mHoneybees;ProtapionDensity;HBcol_ha
2010;M;25;Y;edge;tripra;4n;8;189,25;8,0110833;7,1508013;125;-710,23;0,435356242;4;1,386294361;6;29;2;24;0;0;1;5;0;0;1;0;1;0;0;0;0;21;8;6,580093197;874;1198;5,480638923;324;160;0,5;6;2;4,991666667;0,375
2010;M;9;Y;interior;tripra;4n;10;187;7,4485833;6,5883013;800;-35,23;0,422063022;4;1,386294361;3;16;0;15;0;0;0;3;0;0;0;0;0;0;0;0;0;13;6;6,316363636;306;385;4,787491743;79;243,75;0;3,75;1,5;3,208333333;0
2010;M;9;Y;edge;tripra;4n;10;182;6,1985833;5,3383013;800;-35,23;0,422063022;4;1,386294361;4;24;1;21;0;0;0;7;0;1;0;0;0;0;0;1;0;15;7;6,36;390;518;4,787491743;128;197,5;0,25;5,25;1,75;4,316666667;0
2010;M;10;N;interior;tripra;2n;8;240,25;11,0751812;13,499537;;;0,548138537;4;1,386294361;4;24;2;21;0;0;0;2;0;1;0;0;0;0;0;2;1;18;20;6,08372093;2;12;5,480638923;10;891,25;0,5;5,25;5;0,05;1,25
2010;M;10;N;edge;tripra;2n;8;297,75;25,4501812;27,874537;;;0,548138537;4;1,386294361;5;35;3;28;0;0;0;4;0;4;0;0;0;0;1;3;1;22;49;5,75425;1;6;5,480638923;5;820;0,75;7;12,25;0,025;1,25
2010;M;26;N;interior;tripra;2n;8;217;5,2626812;7,687037;;;0,293526157;4;1,386294361;3;28;0;22;0;0;0;8;0;0;0;0;0;0;0;0;0;20;58;5,548837209;20;39;5,480638923;19;712,5;0;5,5;14,5;0,1625;0
2010;M;26;N;edge;tripra;2n;8;318;30,5126812;32,937037;;;0,293526157;4;1,386294361;5;20;1;18;0;0;0;6;0;0;1;0;0;0;2;0;0;11;70;5,336444444;18;36;5,480638923;18;831,25;0,25;4,5;17,5;0,15;0
2010;M;11;Y;interior;tripra;4n;11;68,25;-16,5514167;-17,4116987;675;-160,23;0,358078389;3;1,098612289;6;15;2;10;0;0;2;1;0;1;0;0;2;0;0;0;1;8;19;6,578138528;155;166;4,787491743;11;278,75;0,666666667;3,333333333;6,333333333;1,383333333;0,909090909
2010;M;11;Y;edge;tripra;4n;11;98,75;-6,384750033;-7,245032033;675;-160,23;0,358078389;3;1,098612289;4;27;1;22;0;0;0;3;0;2;0;0;0;0;0;1;0;21;56;5,58617284;135;149;4,787491743;14;398,75;0,333333333;7,333333333;18,66666667;1,241666667;0,909090909
2010;M;12;Y;interior;tripra;4n;5;176,75;19,61524997;18,75496797;750;-85,23;0,425450802;3;1,098612289;6;29;2;24;0;0;1;3;0;2;1;0;0;0;1;0;0;21;36;5,834603175;341;392;4,787491743;51;668,75;0,666666667;8;12;3,266666667;2
